,text,Degree of Injury
0,employe finger amput while oper a 400 ton mecha,Nonfatal
1,employe finger is caught in drill and is amput,Nonfatal
2,employe is hospit after be injur in firework ex,Nonfatal
3,employe fall from roof and is injur,Fatal
4,employe is struck by plywood while unload truck and is s,Nonfatal
5,employe faint while sort crop in air-condit facili,Nonfatal
6,five employe killed; twelv employe are hospit in mu,Fatal
7,employe is struck by stovepip assembl and is kill,Fatal
8,employe fall through skylight and is kill,Fatal
9,employe fall fourteen stori from scaffold and is kill,Fatal
10,"employe is struck by door, fall through opening, and is ki",Fatal
11,employe fall from ladder and is kill,Fatal
12,employe is struck and kill when by truck back over him,Fatal
13,employe fall from elev and is kill,Fatal
14,employe is kill by chemic exposur to chlorin,Fatal
15,employe is struck by fork lift and later die from injuri,Fatal
16,employe is struck and kill by metal inject mold that f,Fatal
17,employe found unrespons in field die from heat stroke,Fatal
18,employe is caught in drill and is asphyxi,Fatal
19,employe struck by fall tree branch and is kill,Fatal
20,employe caught in wire cabl on a spool and is kill,Fatal
21,employe struck by rig chain and is kill,Fatal
22,employe fall from roof and is kill,Fatal
23,employe trim tree fall and is asphyxi by lifelin,Fatal
24,employe fall from roof and is kill,Fatal
25,employe inhal chemic vapor and is kill,Fatal
26,employe fall through chute/shaft and is kill,Fatal
27,employe is kill in explos and fire,Fatal
28,two worker are kill and anoth hospit when tank ex,Fatal
29,employe die from heart attack at work,Fatal
30,employe die from heart attack,Fatal
31,employe struck by fall tree is kill,Fatal
32,employe die from possibl heat exhaust,Fatal
33,employe is engulf when trench collaps and is kill,Fatal
34,employe fall from a power industri truck and is kill,Fatal
35,employe fall from ladder and is kill,Fatal
36,employe fall off extens ladder and is kill,Fatal
37,employe fall from pickup truck and fractur skull,Nonfatal
38,employe die from heart attack,Fatal
39,employe is struck and kill by motor vehicl,Fatal
40,employe is crush between two trailer and is kill,Fatal
41,employe sis truck by tree and is kill,Fatal
42,employe is struck by fall log and is kill,Fatal
43,employe fall from ladder and later die,Fatal
44,employe fall through skylight and is kill,Fatal
45,one employe is kill and anoth shock when ladder conta,Fatal
46,employe becom aught under overturn lawn mower and is ki,Fatal
47,"employe slip on step, suffer heat attack and later die",Fatal
48,employe step on a roofer nail and is hospit,Fatal
49,employe sustain cardiac arrest and die later,Fatal
50,employe sustain a heart attack and later die,Fatal
51,employe is crush by tractor trailer and is kill,Fatal
52,employe is struck by lid dure weld and is kill,Fatal
53,employe fall from roof and is kill,Fatal
54,employe is struck by a skid steer loader and is kill,Fatal
55,employe fall through floor open and is kill,Fatal
56,employe fall from sidewalk shed and is kill,Fatal
57,employe is crush and kill by fall forklift,Fatal
58,employe fall from bill board and is kill,Fatal
59,employe is struck by lumber and is kill,Fatal
60,employe collaps and die from natur caus,Fatal
61,employe contact live electr part and is kill,Fatal
62,employe is kill when his head is caught between concret ,Fatal
63,employe is kill when his head is caught between concret ,Fatal
64,employe is struck by a tree and is kill,Fatal
65,employe fall from scaffold and is kill,Fatal
66,employe is struck by a tree and is kill,Fatal
67,employe fall from tractor and is kill,Fatal
68,one employe killed; one injur in a dust explos,Fatal
69,employe die from cardiovascular dieas,Fatal
70,employe fall from roll scaffold and is kill,Fatal
71,employe fall from scaffold and is kill,Fatal
72,employe is asphyxi when respir is hook to nitrog,Fatal
73,employe is hospit for cardiac arrest,Fatal
74,employe is engulf by soybean and is kill,Fatal
75,employe is kill in trench collaps,Fatal
76,employe is kill from drug overdos,Fatal
77,employe is kill in fall from scissor lift,Fatal
78,employe is kill when agricultur vehicl strike pole bar,Fatal
79,employe fall from truck bucket and is kill,Fatal
80,"employe fall in park structure, strike head, and is ki",Fatal
81,employe fall from steel deck and is kill,Fatal
82,employe is struck by concret pump and is kill,Fatal
83,employe faint and die from cardiac arrest,Fatal
84,employe is struck by fall bundl of pipe and is kill,Fatal
85,employe is in head struck by shredder and is kill,Fatal
86,two employe fall from forklift platform and suffer multipl,Fatal
87,employe is crush between truck and forklift tong and is ,Fatal
88,employe is struck by speed minivan and is kill,Fatal
89,employe fall from power lift and is kill,Fatal
90,employe suffer stroke and die from pre-exist medic c,Fatal
91,employe fall from ladder and is kill when strike head ,Fatal
92,employe fall from elev platform and is kill,Fatal
93,employe is struck by garbag truck and is kill,Fatal
94,employe fall from elev work surfac and later die,Fatal
95,employe drive a deliveri truck and strike on-com truc,Fatal
96,employe fall approxim 30 feet from roof and is kill,Fatal
97,caught in or between,Fatal
98,employe fall from roof and is kill,Fatal
99,employe fall when trim tree and is kill,Fatal
100,employe is crush by toppl forklift and is kill,Fatal
101,employe is pin underwat by mower and drown,Fatal
102,employe is crush and kill in an atv roll-ov accid,Fatal
103,one employe killed; one employe hospit when both ar,Fatal
104,employe fall through skylight and is kill,Fatal
105,employe becom incoher at orchard and die later,Fatal
106,employe suffer multipl injuri and die,Fatal
107,employe is struck by loos power cabl and is electrocut,Fatal
108,employe fall from scaffold and is kill,Fatal
109,employe is struck by vehicl and is kill,Fatal
110,employe is caught by evapor vacuum and is kill,Fatal
111,employe collaps at work and die,Fatal
112,employe is run over by tractor and is kill,Fatal
113,"employe becom ill, lose consciousness, and is kill",Fatal
114,employe is caught in rock crusher and is kill,Fatal
115,employe lose control of scraper and is kill in vehicl c,Fatal
116,employe fall into vault area and suffer multipl fractu,Fatal
117,employe fall from cell tower and is kill,Fatal
118,employe fall while on ladder and is injur intern,Fatal
119,two employe are shot with firearm; one kill and one is h,Fatal
120,employe fall from rail car and fractur face and wrist,Nonfatal
121,employe slip into plate tank and receiv chemic burn,Nonfatal
122,employe hand is crush by ram form machin,Nonfatal
123,one employe kill and one employe injur from traumat ,Fatal
124,employe sustain multipl injuri in fall from roof,Nonfatal
125,employe fractur spine and rib in fall,Nonfatal
